,full_text
0,0.11269283746556476
1,-0.0297739297739298
2,0.09932121212121212
3,0.023636363636363632
4,0.05739858260019553
5,0.05227272727272726
6,0.1102768065268065
7,0.1430072463768116
8,0.15181818181818182
9,0.08142045454545456
10,0.1043859649122807
11,0.05606565656565657
12,0.08389811738648949
13,0.052465728715728716
14,0.09868247694334652
15,0.057551668761346174
16,0.06789687693259124
17,0.10665922619047619
18,0.10278934901576411
19,0.07234436198721914
20,0.07125757575757576
21,0.03548436257619931
22,0.15040787337662342
23,0.03132665945165945
24,0.12416273934890952
25,0.04427324088341037
26,0.0673076923076923
27,0.11235455601309262
28,0.21210643015521066
29,0.2107142857142857
30,0.11147896879240164
31,0.029916183107672464
32,0.10721099887766554
33,-0.06282051282051283
34,0.04223356009070296
35,0.008632756132756127
36,0.14248917748917747
37,-0.02509415584415585
38,0.16507936507936508
39,0.11384890572390573
40,0.009338687628161313
41,0.14324344636844638
42,0.0757008235666772
43,0.054399585921325024
44,0.05592168437622983
45,0.19029856386999242
46,0.08281280208464674
47,0.0849187527448397
48,0.08329457185840165
49,0.16583999333999339
50,0.028246921037618708
51,-0.014614898989898992
52,0.08560313560313562
53,0.1266328026811898
54,0.0873015873015873
55,-0.012466666666666676
56,0.07748855905998765
57,-0.06203927025355596
58,0.13658880471380472
59,-0.05028278173439463
60,0.1805604748786567
61,0.13999999999999999
62,0.10267595307917887
63,0.12141194554238029
64,0.09207509881422925
65,0.11770527859237537
66,0.01875258799171843
67,0.0247999222999223
68,0.04372434017595308
69,0.11703636363636366
70,-0.06607142857142857
71,0.17557603686635945
72,0.0874301046176046
73,0.09468614718614718
74,0.08617424242424243
75,0.04724921630094043
76,0.06400154109456437
77,0.07462522045855378
78,0.14007716049382718
79,-0.01877331002331002
80,-0.033333333333333326
81,0.07846256684491978
82,0.1710570824524313
83,0.012776575276575275
84,0.13122854157336913
85,0.0981203570092459
86,0.0982453292321713
87,0.12852941176470592
88,0.007261072261072253
89,0.01119632619632619
90,0.08679861007447215
91,0.127658329324996
92,0.1285544217687075
93,0.05573553719008266
94,0.06328311688311689
95,-0.06051095369277188
96,0.08478514654744163
97,0.07711323763955341
98,0.13976301476301475
99,-0.05469172241899514
100,0.08372518286311391
101,0.13386363636363635
102,-0.004439009499985115
103,0.04966216216216217
104,0.08587925587925586
105,0.12332560296846012
106,0.004761904761904758
107,0.03183089397375112
108,0.06063912938912938
109,0.05458333333333334
110,0.044375
111,-0.09171981721981724
112,0.03110881542699725
113,0.06247086247086247
114,0.07529398462234287
115,0.082885101010101
116,0.08049242424242425
117,0.075
118,0.08134565998972777
119,0.007142857142857145
120,0.03553568226645149
121,-0.07222222222222223
122,0.10166063103563103
123,0.09830729166666666
124,0.17773088023088024
125,0.12473880597014927
126,0.04425189393939394
127,-0.013686868686868688
128,0.0966025641025641
129,-0.036422413793103445
130,0.04
131,0.15082951362363128
132,0.027710233029381953
133,0.11223695286195284
134,0.08972222222222223
135,-0.12259875541125542
136,0.09217893217893217
137,0.10443054494525082
138,0.07598011363636363
139,0.07333603896103894
140,0.13290229885057472
141,0.04176303854875283
142,0.07040476190476193
143,0.0
144,0.11951839826839826
145,0.0841663961038961
146,0.15979707792207792
147,0.16730769230769232
148,0.052727272727272734
149,0.1072222222222222
150,0.10111111111111108
151,0.021601482808379355
152,0.04660858585858585
153,-0.0026419658772599977
154,0.10704946288279621
155,0.08252688172043011
156,0.04786742424242425
157,0.024529780564263325
158,0.09563254727728412
159,0.04401614668856047
160,0.009848484848484844
161,0.002738095238095236
162,0.024673046251993614
163,0.008093483093483095
164,0.01769480519480519
165,0.1851689976689977
166,-0.17628205128205127
167,-0.01205478429616361
168,0.01720774139788224
169,0.11681963869463872
170,0.016149979053204862
171,0.065
172,0.06893065268065267
173,0.11250000000000002
174,0.04610714285714286
175,0.185280784030784
176,-0.011640211640211638
177,0.187405303030303
178,0.013359201773835911
179,0.09016311069882499
180,-0.02084222506757717
181,0.1813356251591546
182,0.05132191732998184
183,0.05640645586297759
184,0.08133333333333333
185,0.19093137254901957
186,0.12833333333333335
187,0.15130116096025187
188,0.018754668534080293
189,0.05625
190,0.31428571428571433
191,0.06578947368421051
192,0.05684106369820656
193,-0.05540633608815426
194,0.10705420466058764
195,0.05230938416422288
196,0.18666666666666668
197,0.09582288401253919
198,-0.013562091503267976
199,0.19999999999999998
200,0.008974358974358972
201,0.04532975527873489
202,0.04067594834543987
203,0.10164502164502165
204,0.0815220658970659
205,0.16875
206,0.04536904761904763
207,0.19642857142857145
208,0.10568722943722944
209,0.055603448275862076
210,-0.0020385674931129457
211,-0.03447979797979795
212,0.019047619047619046
213,-0.013566217732884396
214,0.15159285159285157
215,0.15952380952380954
216,0.22261341089466083
217,0.08227777777777778
218,0.11953125
219,0.1576933483183483
220,0.1
221,0.030000000000000006
222,0.19733333333333333
223,0.08360085227272726
224,0.02831262939958591
225,0.04125874125874126
226,0.10808514835858588
227,0.06293226381461675
228,0.0479587542087542
229,0.0410624098124098
230,0.10271464646464645
231,0.13812316715542525
232,0.022395833333333327
233,0.005013708513708511
234,0.03429189857761286
235,0.0587995337995338
236,0.026787878787878784
237,0.1726190476190476
238,0.105
239,0.038378288378288376
240,0.060017586580086574
241,0.029250841750841743
242,0.07499999999999998
243,0.0625
244,0.05890151515151517
245,0.06402972027972027
246,-0.1548983134920635
247,0.07752525252525252
248,0.18482093663911844
249,0.11720430107526882
250,-0.030695070235886565
251,0.06049955335669624
252,0.12205741626794257
253,0.04385454545454545
254,0.035454545454545454
255,0.021428571428571432
256,0.09673831915211227
257,0.042094330400782004
258,-0.03252525252525253
259,0.08727002164502162
260,0.10768717393717392
261,0.0958994708994709
262,0.09704301075268817
263,0.041565656565656556
264,0.1584924242424242
265,0.17055916305916305
266,0.06320075757575758
267,0.020977011494252875
268,0.07520045468158677
269,0.05423701298701297
270,0.08312332508761078
271,0.1134491634491635
272,0.055785405071119364
273,0.08442122113997114
274,-0.003115646258503401
275,-0.03221212121212122
276,0.2863030303030303
277,0.043585434173669474
278,0.09055116381203338
279,0.00614604693552062
280,0.08941798941798941
281,-0.046186868686868686
282,0.16525689223057646
283,0.022686322686322674
284,0.1152788877788878
285,0.09128787878787879
286,0.02863636363636362
287,0.159366391184573
288,0.09144707949055775
289,0.06176359872012045
