date,ticker,TSLA_close,TSLA_close_shifted_by_1,zacks_stocknews_sentiment,zacks_vader_sentiment,zacks_textblob_lemmatized_sentiments,zacks_textblob_stemmed_sentiments,motley_stocknews_sentiment,motley_vader_sentiment,motley_textblob_lemmatized_sentiments,motley_textblob_stemmed_sentiments
2019-04-02,TSLA,285.8800048828125,289.17999267578125,-1.0,0.9967,-0.06976540616246497,-0.1548983134920635,0.0,-0.6006,0.07739922415247093,0.06402972027972027
2019-04-04,TSLA,267.7799987792969,291.80999755859375,-0.3333333333333333,-0.25586666666666663,0.025594035594035586,0.0425489055697389,-0.3333333333333333,0.11809999999999998,0.07510775782047713,0.11753968253968251
2019-04-11,TSLA,268.4200134277344,276.05999755859375,0.0,0.4736,0.04537818662818663,0.0410624098124098,-1.0,0.47315,0.03901995367935656,0.055445509011685476
2019-04-17,TSLA,271.2300109863281,273.3599853515625,-1.0,0.9974,0.07251659451659455,0.028312629399585912,0.0,0.9929,0.1516418495297806,0.08360085227272726
2019-04-18,TSLA,273.260009765625,271.2300109863281,-1.0,0.6705,-0.024999999999999998,0.030000000000000006,1.0,0.9959,0.17729120473022913,0.19733333333333333
2019-04-22,TSLA,262.75,273.260009765625,0.0,0.6908,0.1,0.1,1.0,0.9984,0.1714219723366064,0.1576933483183483
2019-05-02,TSLA,244.10000610351562,234.00999450683594,0.5,0.99185,0.10413303250421896,0.09158354377104377,1.0,0.9884999999999999,0.11999804839968772,0.10705952380952383
2019-05-03,TSLA,255.02999877929688,244.10000610351562,-0.5,0.9967999999999999,0.07085073953823953,0.04300285181208738,1.0,0.98905,0.13398528554778555,0.10448717948717949
2019-05-07,TSLA,247.05999755859375,255.33999633789062,0.0,0.9382,0.1952777777777778,0.18666666666666668,0.6666666666666666,0.9946999999999999,0.0794175971974885,0.08506215761244991
2019-06-10,TSLA,212.8800048828125,204.5,0.0,0.9132,0.028137851731601733,-0.01205478429616361,-1.0,0.9451,-0.06696969696969697,-0.17628205128205127
2019-06-20,TSLA,219.6199951171875,226.42999267578125,1.0,0.9969,0.09507487048470656,0.09563254727728412,-1.0,0.9403,0.03206388206388207,0.024529780564263325
2019-07-02,TSLA,224.5500030517578,227.1699981689453,1.0,0.9933,0.08458655083655084,0.10111111111111107,1.0,0.98075,0.12535282258064515,0.07997474747474748
2019-07-03,TSLA,234.89999389648438,224.5500030517578,1.0,0.998,0.12853089001394086,0.0841663961038961,1.0,0.9705666666666666,0.11979507964802083,0.1488743894993895
2019-07-22,TSLA,255.67999267578125,258.17999267578125,0.0,0.9432,-0.000353535353535354,-0.013686868686868688,0.0,0.9746,0.09111111111111113,0.04425189393939394
2019-07-23,TSLA,260.1700134277344,255.67999267578125,1.0,0.9940000000000001,0.1516115702479339,0.17773088023088024,0.5,0.998,0.1408726776695527,0.11152304881840797
2019-07-24,TSLA,264.8800048828125,260.1700134277344,-0.5,0.98035,0.05079828504828504,0.014719204406704406,1.0,0.9842,0.13033547533547535,0.035535682266451485
2019-07-25,TSLA,228.82000732421875,264.8800048828125,-0.6666666666666666,0.5294,0.04228064657020849,0.056326980458336395,-1.0,0.8677,0.13035714285714284,0.075
2019-08-23,TSLA,211.39999389648438,222.14999389648438,-1.0,0.9401,0.00262878787878788,0.004761904761904758,1.0,0.9999,0.1241008039579468,0.12332560296846012
2019-08-27,TSLA,214.0800018310547,215.0,0.0,0.8671,0.01553267870341039,-0.054691722418995135,0.0,0.9764999999999999,0.09370040531763693,0.11174409881306432
2019-09-04,TSLA,220.67999267578125,225.00999450683594,1.0,0.9866,0.048324114157447466,0.011196326196326191,1.0,-0.981,0.04075757575757575,0.007261072261072253
2019-09-25,TSLA,228.6999969482422,223.2100067138672,0.0,0.9987,0.16410005668934233,0.14007716049382718,0.5,0.99245,0.11218532290078345,0.06931338077655907
2019-09-27,TSLA,242.1300048828125,242.55999755859375,0.0,0.99285,0.053571660387755876,0.05475230414746544,1.0,0.9892,0.17451725905673274,0.0874301046176046
2019-10-03,TSLA,233.02999877929688,243.1300048828125,0.3333333333333333,0.9967666666666667,0.07156448235860002,0.08389654622888078,0.0,0.8334999999999999,0.08916604104104103,0.11158368396446938
2019-10-04,TSLA,231.42999267578125,233.02999877929688,0.0,0.9914,0.020992357982153882,-0.06203927025355596,-1.0,0.9716,0.18096320346320344,0.13658880471380472
2019-10-22,TSLA,255.5800018310547,253.5,0.75,0.9878,0.09817816009513067,0.0727767857142857,1.0,0.9952,0.0953086875245966,0.11384890572390573
2019-10-23,TSLA,254.67999267578125,255.5800018310547,0.5,0.99045,0.05750756525028368,-0.010293476364904929,1.0,0.9939,0.1019281157439052,0.10721099887766554
2019-10-24,TSLA,299.67999267578125,254.67999267578125,0.3333333333333333,0.9974666666666666,0.112458080553941,0.11783386068509492,1.0,0.9909,0.1846320346320346,0.2107142857142857
2019-10-30,TSLA,315.010009765625,316.2200012207031,0.5,0.9912,0.11781890331890332,0.10472428760312016,0.5,0.9862,0.057677311530989164,0.07180096887239745
2019-10-31,TSLA,314.9200134277344,315.010009765625,0.0,0.9977,0.026327026882582438,0.057551668761346174,1.0,0.9961,0.08286040348540347,0.08328967693796888
2019-11-11,TSLA,345.0899963378906,337.1400146484375,0.0,0.9982,0.13981798504525778,0.08142045454545456,1.0,0.9918,0.12153409090909095,0.15181818181818182
2019-11-22,TSLA,333.0400085449219,354.8299865722656,0.5,0.9639500000000001,0.08386518180401156,0.05605215605215604,-1.0,0.95715,0.10122434664101329,0.059535011771853885
2019-11-25,TSLA,336.3399963378906,333.0400085449219,0.0,0.9976,0.10507554112554113,0.09055116381203338,1.0,0.53125,0.25028375270562775,0.16494423223834986
2019-11-26,TSLA,328.9200134277344,336.3399963378906,0.3333333333333333,0.9832666666666666,0.08233101165271708,0.035998168332989765,1.0,0.9094,0.03544579533941235,-0.003115646258503401
2019-11-27,TSLA,331.2900085449219,328.9200134277344,0.0,0.9995,0.1305453772418058,0.08312332508761078,0.0,0.9976,0.1668571428571429,0.1134491634491635
2019-12-27,TSLA,430.3800048828125,430.94000244140625,1.0,0.9938,0.15176834130781502,0.1102768065268065,0.0,0.9834,0.14661195286195286,0.05227272727272726
